ordem,entrevistado,startTime,endTime,duracao,fase
420,4-Jeff-X,00:02:53,00:02:59,00:00:06,Testing
421,4-Jeff-X,00:02:59,00:03:05,00:00:06,Mapping
422,4-Jeff-X,00:03:05,00:03:17,00:00:12,Testing
423,4-Jeff-X,00:03:18,00:03:22,00:00:04,Mounting
424,4-Jeff-X,00:03:22,00:03:27,00:00:05,Mapping
425,4-Jeff-X,00:03:27,00:03:33,00:00:05,Testing
426,4-Jeff-X,00:03:33,00:03:34,00:00:02,Mapping
427,4-Jeff-X,00:03:34,00:03:38,00:00:03,Testing
428,4-Jeff-X,00:03:38,00:03:40,00:00:02,Mapping
429,4-Jeff-X,00:03:40,00:03:47,00:00:08,Testing
430,4-Jeff-X,00:03:47,00:03:58,00:00:10,Mapping
431,4-Jeff-X,00:03:58,00:04:10,00:00:12,Testing
432,4-Jeff-X,00:04:10,00:04:12,00:00:03,Mapping
433,4-Jeff-X,00:04:13,00:04:16,00:00:03,Testing
434,4-Jeff-X,00:04:16,00:04:22,00:00:07,Mapping
435,4-Jeff-X,00:04:22,00:04:27,00:00:05,Mounting
436,4-Jeff-X,00:04:27,00:04:29,00:00:02,Mapping
437,4-Jeff-X,00:04:29,00:04:38,00:00:09,Testing
438,4-Jeff-X,00:04:39,00:04:42,00:00:03,Mounting
439,4-Jeff-X,00:04:42,00:04:47,00:00:04,Mapping
440,4-Jeff-X,00:04:47,00:04:54,00:00:07,Testing
441,4-Jeff-X,00:04:54,00:05:05,00:00:11,Mapping
442,4-Jeff-X,00:05:05,00:05:10,00:00:04,Testing
443,4-Jeff-X,00:05:10,00:05:26,00:00:16,Mapping
444,4-Jeff-X,00:05:26,00:05:31,00:00:05,Mounting
445,4-Jeff-X,00:05:31,00:05:35,00:00:04,Mapping
446,4-Jeff-X,00:05:35,00:06:09,00:00:34,Testing
447,4-Jeff-X,00:06:09,00:06:24,00:00:15,Mapping
448,4-Jeff-X,00:06:24,00:06:31,00:00:06,Mounting
449,4-Jeff-X,00:06:31,00:06:35,00:00:04,Mapping
450,4-Jeff-X,00:06:35,00:06:41,00:00:05,Mounting
451,4-Jeff-X,00:06:41,00:06:49,00:00:09,Mapping
452,4-Jeff-X,00:06:49,00:07:00,00:00:11,Testing
453,4-Jeff-X,00:07:00,00:07:08,00:00:08,Mapping
454,4-Jeff-X,00:07:09,00:07:13,00:00:05,Testing
455,4-Jeff-X,00:07:14,00:07:15,00:00:01,Mapping
456,4-Jeff-X,00:07:15,00:07:20,00:00:05,Testing
457,4-Jeff-X,00:07:20,00:07:25,00:00:05,Mapping
458,4-Jeff-X,00:07:25,00:07:30,00:00:05,Testing
459,4-Jeff-X,00:07:30,00:07:41,00:00:11,Mapping
460,4-Jeff-X,00:07:41,00:07:47,00:00:06,Mounting
461,4-Jeff-X,00:07:47,00:07:51,00:00:04,Mapping
462,4-Jeff-X,00:07:51,00:08:07,00:00:17,Testing
463,4-Jeff-X,00:08:08,00:08:13,00:00:05,Mapping
464,4-Jeff-X,00:08:13,00:08:20,00:00:08,Testing
465,4-Jeff-X,00:08:20,00:08:30,00:00:10,Mapping
466,4-Jeff-X,00:08:30,00:08:36,00:00:06,Mounting
467,4-Jeff-X,00:08:36,00:08:44,00:00:08,Mapping
468,4-Jeff-X,00:08:45,00:08:49,00:00:04,Mounting
469,4-Jeff-X,00:08:49,00:08:59,00:00:10,Mapping
470,4-Jeff-X,00:08:59,00:09:03,00:00:04,Testing
471,4-Jeff-X,00:09:03,00:09:08,00:00:05,Mounting
472,4-Jeff-X,00:09:08,00:09:32,00:00:24,Mapping
473,4-Jeff-X,00:09:32,00:09:54,00:00:22,Testing
474,4-Jeff-X,00:09:54,00:10:32,00:00:38,Consulting
475,4-Jeff-X,00:10:32,00:10:35,00:00:03,Mounting
476,4-Jeff-X,00:10:35,00:10:47,00:00:12,Mapping
477,4-Jeff-X,00:10:47,00:11:21,00:00:34,Testing
478,4-Jeff-X,00:11:22,00:11:25,00:00:03,Mounting
479,4-Jeff-X,00:11:25,00:11:30,00:00:05,Mapping
480,4-Jeff-X,00:11:30,00:11:58,00:00:29,Testing
481,4-Jeff-X,00:11:59,00:12:07,00:00:08,Mounting
482,4-Jeff-X,00:12:07,00:12:35,00:00:28,Mapping
483,4-Jeff-X,00:12:35,00:12:36,00:00:01,Testing
484,4-Jeff-X,00:12:37,00:12:41,00:00:04,Mapping
485,4-Jeff-X,00:12:41,00:12:44,00:00:03,Testing
486,4-Jeff-X,00:12:44,00:12:50,00:00:06,Mapping
487,4-Jeff-X,00:12:50,00:12:53,00:00:03,Testing
488,4-Jeff-X,00:12:53,00:12:56,00:00:03,Mapping
489,4-Jeff-X,00:12:56,00:13:55,00:00:59,Testing
490,4-Jeff-X,00:13:55,00:14:08,00:00:13,Mounting
491,4-Jeff-X,00:14:08,00:14:13,00:00:05,Testing
492,4-Jeff-X,00:14:13,00:14:16,00:00:03,Mounting
493,4-Jeff-X,00:14:16,00:14:23,00:00:07,Mapping
494,4-Jeff-X,00:14:23,00:14:26,00:00:03,Testing
495,4-Jeff-X,00:14:26,00:14:28,00:00:02,Mounting
496,4-Jeff-X,00:14:29,00:14:29,00:00:01,Testing
497,4-Jeff-X,00:14:30,00:15:14,00:00:44,Mounting
498,4-Jeff-X,00:15:14,00:15:25,00:00:12,Mapping
499,4-Jeff-X,00:15:25,00:15:28,00:00:02,Mounting
500,4-Jeff-X,00:15:28,00:15:53,00:00:25,Mapping
501,4-Jeff-X,00:15:53,00:15:57,00:00:04,Mounting
502,4-Jeff-X,00:15:57,00:16:02,00:00:05,Mapping
503,4-Jeff-X,00:16:02,00:16:50,00:00:48,Testing
504,4-Jeff-X,00:16:50,00:16:51,00:00:01,Mapping
505,4-Jeff-X,00:16:51,00:16:56,00:00:06,Mounting
506,4-Jeff-X,00:16:56,00:17:19,00:00:22,Mapping
507,4-Jeff-X,00:17:19,00:17:36,00:00:17,Testing
508,4-Jeff-X,00:17:36,00:17:42,00:00:06,Mounting
509,4-Jeff-X,00:17:42,00:18:01,00:00:18,Testing
510,4-Jeff-X,00:18:01,00:18:03,00:00:02,Mapping
511,4-Jeff-X,00:18:04,00:18:25,00:00:22,Mounting
512,4-Jeff-X,00:18:26,00:18:39,00:00:13,Mapping
513,4-Jeff-X,00:18:39,00:18:45,00:00:07,Testing
514,4-Jeff-X,00:18:45,00:18:47,00:00:02,Mapping
515,4-Jeff-X,00:18:47,00:18:53,00:00:06,Testing
516,4-Jeff-X,00:18:53,00:18:56,00:00:03,Mounting
517,4-Jeff-X,00:18:57,00:19:03,00:00:06,Mapping
518,4-Jeff-X,00:19:03,00:19:10,00:00:06,Testing
519,4-Jeff-X,00:19:10,00:19:36,00:00:26,Mapping
520,4-Jeff-X,00:19:36,00:19:49,00:00:13,Testing
521,4-Jeff-X,00:19:50,00:21:18,00:01:29,Consulting
522,4-Jeff-X,00:21:18,00:21:45,00:00:26,Testing
523,4-Jeff-X,00:21:45,00:21:48,00:00:03,Mapping
524,4-Jeff-X,00:21:48,00:21:50,00:00:02,Testing
525,4-Jeff-X,00:21:50,00:21:55,00:00:05,Mapping
526,4-Jeff-X,00:21:55,00:22:11,00:00:16,Testing
527,4-Jeff-X,00:22:11,00:22:19,00:00:08,Mapping
528,4-Jeff-X,00:22:19,00:22:23,00:00:03,Testing
529,4-Jeff-X,00:22:23,00:22:24,00:00:01,Mapping
530,4-Jeff-X,00:22:24,00:22:25,00:00:02,Testing
531,4-Jeff-X,00:22:26,00:22:28,00:00:03,Mounting
532,4-Jeff-X,00:22:29,00:22:45,00:00:16,Mapping
533,4-Jeff-X,00:22:45,00:22:54,00:00:09,Testing
534,4-Jeff-X,00:22:54,00:23:30,00:00:37,Mapping
535,4-Jeff-X,00:23:30,00:23:40,00:00:10,Testing
536,4-Jeff-X,00:23:40,00:24:49,00:01:10,Consulting
537,4-Jeff-X,00:24:50,00:25:18,00:00:29,Mounting
538,4-Jeff-X,00:25:18,00:25:30,00:00:12,Mapping
539,4-Jeff-Y,00:00:10,00:01:36,00:01:26,Mounting
540,4-Jeff-Y,00:01:36,00:01:56,00:00:19,Mapping
541,4-Jeff-Y,00:01:55,00:02:03,00:00:08,Testing
542,4-Jeff-Y,00:02:03,00:03:47,00:01:44,Mounting
543,4-Jeff-Y,00:03:48,00:04:02,00:00:14,Mapping
544,4-Jeff-Y,00:04:02,00:04:02,00:00:00,Consulting
545,4-Jeff-Y,00:04:02,00:04:31,00:00:29,Consulting
546,4-Jeff-Y,00:04:31,00:05:21,00:00:50,Mounting
547,4-Jeff-Y,00:05:21,00:05:22,00:00:01,Testing
548,4-Jeff-Y,00:05:22,00:05:38,00:00:16,Mounting
549,4-Jeff-Y,00:05:38,00:05:40,00:00:02,Testing
550,4-Jeff-Y,00:05:40,00:05:48,00:00:08,Mapping
551,4-Jeff-Y,00:05:48,00:06:49,00:01:02,Mounting
552,4-Jeff-Y,00:06:49,00:07:23,00:00:33,Testing
553,4-Jeff-Y,00:07:23,00:07:44,00:00:21,Mounting
554,4-Jeff-Y,00:07:44,00:07:49,00:00:05,Testing
555,4-Jeff-Y,00:07:49,00:08:00,00:00:11,Mapping
556,4-Jeff-Y,00:08:00,00:09:39,00:01:39,Mounting
557,4-Jeff-Y,00:09:39,00:09:46,00:00:07,Mapping
558,4-Jeff-Y,00:09:46,00:10:36,00:00:49,Testing
559,4-Jeff-Y,00:10:36,00:10:43,00:00:07,Mapping
560,4-Jeff-Y,00:10:43,00:11:13,00:00:30,Mounting
561,4-Jeff-Y,00:11:13,00:11:21,00:00:08,Mapping
562,4-Jeff-Y,00:11:21,00:11:56,00:00:34,Consulting
563,4-Jeff-Y,00:11:56,00:12:29,00:00:33,Mounting
564,4-Jeff-Y,00:12:29,00:12:34,00:00:06,Mapping
565,4-Jeff-Y,00:12:34,00:13:03,00:00:29,Mounting
566,4-Jeff-Y,00:13:03,00:13:10,00:00:07,Mapping
567,4-Jeff-Y,00:13:10,00:13:13,00:00:03,Testing
568,4-Jeff-Y,00:13:14,00:14:02,00:00:48,Mounting
569,4-Jeff-Y,00:14:02,00:14:06,00:00:05,Mapping
570,4-Jeff-Y,00:14:06,00:14:12,00:00:05,Testing
571,4-Jeff-Y,00:14:12,00:14:20,00:00:08,Mapping
572,4-Jeff-Y,00:14:20,00:15:14,00:00:54,Mounting
573,4-Jeff-Y,00:15:14,00:15:16,00:00:03,Mapping
574,4-Jeff-Y,00:15:16,00:15:27,00:00:11,Testing
575,4-Jeff-Y,00:15:28,00:15:33,00:00:05,Mapping
576,4-Jeff-Y,00:15:33,00:15:48,00:00:15,Testing
577,4-Jeff-Y,00:15:48,00:16:47,00:00:59,Mounting
578,4-Jeff-Y,00:16:47,00:16:55,00:00:08,Mapping
579,4-Jeff-Y,00:16:55,00:17:17,00:00:22,Testing
580,4-Jeff-Y,00:17:17,00:17:34,00:00:17,Mounting
581,4-Jeff-Y,00:17:34,00:17:39,00:00:05,Mapping
582,4-Jeff-Y,00:17:39,00:18:37,00:00:57,Mounting
583,4-Jeff-Y,00:18:37,00:18:43,00:00:06,Mapping
584,4-Jeff-Y,00:18:43,00:19:11,00:00:29,Testing
585,4-Jeff-Y,00:19:11,00:19:15,00:00:04,Mapping
586,4-Jeff-Y,00:19:15,00:19:30,00:00:15,Testing
587,4-Jeff-Y,00:19:30,00:19:34,00:00:05,Mapping
588,4-Jeff-Y,00:19:34,00:19:42,00:00:08,Testing
589,4-Jeff-Y,00:19:42,00:21:42,00:02:01,Mounting
590,4-Jeff-Y,00:21:42,00:21:50,00:00:07,Testing
591,4-Jeff-Y,00:21:50,00:22:03,00:00:13,Mapping
592,4-Jeff-Y,00:22:03,00:22:24,00:00:22,Testing
593,4-Jeff-Y,00:22:24,00:22:30,00:00:06,Mapping
594,4-Jeff-Y,00:22:30,00:22:57,00:00:27,Testing
595,4-Jeff-Y,00:22:57,00:23:01,00:00:04,Mapping
596,4-Jeff-Y,00:23:01,00:23:11,00:00:10,Testing
597,4-Jeff-Y,00:23:11,00:23:24,00:00:13,Mapping
598,4-Jeff-Y,00:23:24,00:23:57,00:00:33,Testing
599,4-Jeff-Y,00:23:57,00:25:10,00:01:13,Mounting
600,5-Dolores-X,00:00:02,00:00:09,00:00:07,Mapping
601,5-Dolores-X,00:00:09,00:00:20,00:00:11,Testing
602,5-Dolores-X,00:00:20,00:00:52,00:00:33,Consulting
603,5-Dolores-X,00:00:52,00:01:06,00:00:13,Testing
604,5-Dolores-X,00:01:06,00:01:08,00:00:02,Mapping
605,5-Dolores-X,00:01:08,00:01:14,00:00:06,Testing
606,5-Dolores-X,00:01:14,00:01:17,00:00:03,Mapping
607,5-Dolores-X,00:01:17,00:01:18,00:00:01,Testing
608,5-Dolores-X,00:01:18,00:01:23,00:00:05,Mapping
609,5-Dolores-X,00:01:23,00:01:27,00:00:05,Testing
610,5-Dolores-X,00:01:28,00:01:31,00:00:04,Mapping
611,5-Dolores-X,00:01:31,00:01:34,00:00:02,Testing
612,5-Dolores-X,00:01:34,00:01:37,00:00:04,Mapping
613,5-Dolores-X,00:01:37,00:01:46,00:00:08,Testing
614,5-Dolores-X,00:01:46,00:01:50,00:00:05,Mapping
615,5-Dolores-X,00:01:50,00:02:03,00:00:13,Testing
616,5-Dolores-X,00:02:03,00:02:05,00:00:02,Mapping
617,5-Dolores-X,00:02:05,00:02:20,00:00:14,Testing
618,5-Dolores-X,00:02:20,00:02:23,00:00:03,Mapping
619,5-Dolores-X,00:02:23,00:02:26,00:00:04,Testing
620,5-Dolores-X,00:02:26,00:02:34,00:00:08,Mapping
621,5-Dolores-X,00:02:34,00:02:40,00:00:06,Testing
622,5-Dolores-X,00:02:40,00:02:47,00:00:07,Bug
623,5-Dolores-X,00:02:47,00:02:54,00:00:07,Consulting
624,5-Dolores-X,00:02:54,00:02:58,00:00:04,Mapping
625,5-Dolores-X,00:02:59,00:03:01,00:00:03,Bug
626,5-Dolores-X,00:03:02,00:03:07,00:00:05,Consulting
627,5-Dolores-X,00:03:07,00:03:25,00:00:18,Testing
628,5-Dolores-X,00:03:26,00:03:37,00:00:12,Mapping
629,5-Dolores-X,00:03:37,00:03:39,00:00:02,Testing
630,5-Dolores-X,00:03:39,00:03:50,00:00:11,Mapping
631,5-Dolores-X,00:03:50,00:04:11,00:00:20,Testing
632,5-Dolores-X,00:04:11,00:04:17,00:00:06,Mounting
633,5-Dolores-X,00:04:17,00:04:23,00:00:06,Mapping
634,5-Dolores-X,00:04:23,00:04:26,00:00:03,Testing
635,5-Dolores-X,00:04:26,00:04:36,00:00:09,Mapping
636,5-Dolores-X,00:04:36,00:04:45,00:00:09,Testing
637,5-Dolores-X,00:04:45,00:04:48,00:00:03,Mapping
638,5-Dolores-X,00:04:48,00:04:55,00:00:06,Testing
639,5-Dolores-X,00:04:55,00:05:28,00:00:33,Mapping
640,5-Dolores-X,00:05:28,00:05:39,00:00:12,Testing
641,5-Dolores-X,00:05:40,00:05:43,00:00:04,Mapping
642,5-Dolores-X,00:05:44,00:05:51,00:00:07,Testing
643,5-Dolores-X,00:05:51,00:06:03,00:00:12,Mounting
644,5-Dolores-X,00:06:03,00:06:22,00:00:18,Testing
645,5-Dolores-X,00:06:22,00:06:28,00:00:06,Mapping
646,5-Dolores-X,00:06:28,00:06:43,00:00:15,Consulting
647,5-Dolores-X,00:06:43,00:06:46,00:00:02,Mapping
648,5-Dolores-X,00:06:46,00:06:47,00:00:01,Testing
649,5-Dolores-X,00:06:47,00:06:51,00:00:04,Mapping
650,5-Dolores-X,00:06:51,00:07:22,00:00:32,Testing
651,5-Dolores-X,00:07:22,00:07:31,00:00:09,Mapping
652,5-Dolores-X,00:07:31,00:07:40,00:00:09,Testing
653,5-Dolores-X,00:07:40,00:07:43,00:00:02,Mapping
654,5-Dolores-X,00:07:43,00:07:49,00:00:06,Testing
655,5-Dolores-X,00:07:49,00:07:57,00:00:08,Mapping
656,5-Dolores-X,00:07:57,00:08:09,00:00:12,Testing
657,5-Dolores-X,00:08:10,00:08:15,00:00:05,Mapping
658,5-Dolores-X,00:08:15,00:08:45,00:00:30,Testing
659,5-Dolores-X,00:08:45,00:08:50,00:00:05,Mapping
660,5-Dolores-X,00:08:50,00:08:52,00:00:02,Testing
661,5-Dolores-X,00:08:52,00:09:04,00:00:12,Mapping
662,5-Dolores-X,00:09:04,00:09:11,00:00:06,Testing
663,5-Dolores-X,00:09:11,00:09:15,00:00:04,Mapping
664,5-Dolores-X,00:09:15,00:09:18,00:00:04,Testing
665,5-Dolores-X,00:09:18,00:09:21,00:00:03,Mapping
666,5-Dolores-X,00:09:21,00:09:29,00:00:07,Testing
667,5-Dolores-X,00:09:29,00:09:33,00:00:04,Mapping
668,5-Dolores-X,00:09:33,00:09:37,00:00:03,Testing
669,5-Dolores-X,00:09:37,00:09:46,00:00:09,Mapping
670,5-Dolores-X,00:09:46,00:10:14,00:00:28,Testing
671,5-Dolores-X,00:10:14,00:10:48,00:00:34,Mapping
672,5-Dolores-X,00:10:48,00:10:51,00:00:03,Testing
673,5-Dolores-X,00:10:51,00:10:55,00:00:05,Mapping
674,5-Dolores-X,00:10:55,00:10:56,00:00:01,Testing
675,5-Dolores-X,00:10:56,00:11:01,00:00:05,Mapping
676,5-Dolores-X,00:11:01,00:11:08,00:00:06,Testing
677,5-Dolores-X,00:11:08,00:11:22,00:00:14,Mapping
678,5-Dolores-X,00:11:22,00:11:25,00:00:03,Testing
679,5-Dolores-X,00:11:25,00:11:35,00:00:10,Mapping
680,5-Dolores-X,00:11:35,00:11:37,00:00:02,Testing
681,5-Dolores-X,00:11:38,00:12:26,00:00:49,Mapping
682,5-Dolores-X,00:12:27,00:12:31,00:00:05,Testing
683,5-Dolores-X,00:12:32,00:12:43,00:00:11,Mapping
684,5-Dolores-X,00:12:43,00:12:48,00:00:05,Testing
685,5-Dolores-X,00:12:49,00:12:56,00:00:08,Mapping
686,5-Dolores-X,00:12:56,00:13:12,00:00:16,Testing
687,5-Dolores-X,00:13:12,00:13:21,00:00:09,Mapping
688,5-Dolores-X,00:13:22,00:13:30,00:00:09,Testing
689,5-Dolores-X,00:13:31,00:13:44,00:00:13,Mapping
690,5-Dolores-X,00:13:44,00:13:49,00:00:05,Testing
691,5-Dolores-X,00:13:49,00:13:52,00:00:02,Mapping
692,5-Dolores-X,00:13:52,00:13:54,00:00:03,Testing
693,5-Dolores-X,00:13:54,00:14:02,00:00:07,Mapping
694,5-Dolores-X,00:14:02,00:14:08,00:00:06,Testing
695,5-Dolores-X,00:14:09,00:14:31,00:00:22,Mounting
696,5-Dolores-X,00:14:31,00:14:38,00:00:07,Testing
697,5-Dolores-X,00:14:38,00:14:50,00:00:12,Mapping
698,5-Dolores-X,00:14:50,00:15:09,00:00:20,Testing
699,5-Dolores-X,00:15:10,00:15:34,00:00:24,Mapping
700,5-Dolores-X,00:15:34,00:15:38,00:00:04,Testing
701,5-Dolores-X,00:15:38,00:15:55,00:00:17,Mapping
702,5-Dolores-X,00:15:55,00:16:18,00:00:23,Testing
703,5-Dolores-X,00:16:18,00:16:22,00:00:05,Mapping
704,5-Dolores-X,00:16:22,00:16:24,00:00:02,Testing
705,5-Dolores-X,00:16:24,00:16:27,00:00:03,Mapping
706,5-Dolores-X,00:16:27,00:16:30,00:00:03,Testing
707,5-Dolores-X,00:16:30,00:16:33,00:00:03,Mapping
708,5-Dolores-X,00:16:33,00:16:39,00:00:06,Testing
709,5-Dolores-X,00:16:40,00:16:41,00:00:02,Mapping
710,5-Dolores-X,00:16:41,00:16:56,00:00:14,Mounting
711,5-Dolores-X,00:16:56,00:18:24,00:01:29,Bug
712,5-Dolores-X,00:18:24,00:18:32,00:00:07,Testing
713,5-Dolores-X,00:18:32,00:18:33,00:00:02,Mapping
714,5-Dolores-X,00:18:33,00:18:35,00:00:02,Testing
715,5-Dolores-X,00:18:37,00:18:42,00:00:05,Mapping
716,5-Dolores-X,00:18:42,00:18:53,00:00:11,Testing
717,5-Dolores-X,00:18:53,00:18:57,00:00:04,Mapping
718,5-Dolores-X,00:18:57,00:19:18,00:00:21,Testing
719,5-Dolores-X,00:19:18,00:19:24,00:00:06,Mapping
720,5-Dolores-X,00:19:24,00:19:28,00:00:04,Testing
721,5-Dolores-X,00:19:28,00:19:33,00:00:05,Mapping
722,5-Dolores-X,00:19:33,00:19:41,00:00:09,Testing
723,5-Dolores-X,00:19:42,00:19:45,00:00:04,Mapping
724,5-Dolores-X,00:19:45,00:19:52,00:00:07,Testing
725,5-Dolores-X,00:19:52,00:19:58,00:00:06,Mapping
726,5-Dolores-X,00:19:58,00:20:33,00:00:35,Testing
727,5-Dolores-X,00:20:33,00:20:42,00:00:09,Mounting
728,5-Dolores-X,00:20:43,00:20:47,00:00:05,Mapping
729,5-Dolores-X,00:20:47,00:20:49,00:00:02,Testing
730,5-Dolores-X,00:20:50,00:20:53,00:00:03,Mapping
731,5-Dolores-X,00:20:53,00:21:11,00:00:18,Testing
732,5-Dolores-X,00:21:11,00:21:48,00:00:37,Mapping
733,5-Dolores-X,00:21:48,00:21:52,00:00:04,Testing
734,5-Dolores-X,00:21:52,00:22:21,00:00:29,Mapping
735,5-Dolores-X,00:22:21,00:22:31,00:00:10,Testing
736,5-Dolores-X,00:22:31,00:22:54,00:00:22,Mapping
737,5-Dolores-X,00:22:53,00:23:00,00:00:06,Testing
738,5-Dolores-X,00:23:00,00:23:19,00:00:20,Mapping
739,5-Dolores-X,00:23:19,00:23:23,00:00:04,Testing
740,5-Dolores-X,00:23:23,00:23:25,00:00:02,Mapping
741,5-Dolores-X,00:23:25,00:23:43,00:00:17,Testing
742,5-Dolores-X,00:23:43,00:23:46,00:00:03,Mapping
743,5-Dolores-X,00:23:46,00:23:59,00:00:13,Testing
744,5-Dolores-X,00:23:59,00:24:08,00:00:09,Mapping
745,5-Dolores-X,00:24:08,00:24:11,00:00:03,Testing
746,5-Dolores-X,00:24:11,00:24:28,00:00:17,Mapping
747,5-Dolores-X,00:24:28,00:24:34,00:00:06,Testing
748,5-Dolores-X,00:24:34,00:24:45,00:00:11,Mapping
749,5-Dolores-X,00:24:45,00:24:49,00:00:05,Testing
750,5-Dolores-X,00:24:50,00:24:55,00:00:05,Mapping
751,5-Dolores-X,00:24:55,00:25:05,00:00:10,Testing
752,5-Dolores-Y,00:00:00,00:00:54,00:00:53,Mounting
753,5-Dolores-Y,00:00:54,00:01:01,00:00:07,Mapping
754,5-Dolores-Y,00:01:01,00:01:44,00:00:43,Mounting
755,5-Dolores-Y,00:01:44,00:02:14,00:00:30,Consulting
756,5-Dolores-Y,00:02:14,00:02:39,00:00:25,Mapping
757,5-Dolores-Y,00:02:39,00:03:05,00:00:25,Testing
758,5-Dolores-Y,00:03:05,00:03:21,00:00:16,Mapping
759,5-Dolores-Y,00:03:21,00:03:31,00:00:10,Testing
760,5-Dolores-Y,00:03:31,00:04:23,00:00:53,Mapping
761,5-Dolores-Y,00:04:23,00:04:27,00:00:04,Testing
762,5-Dolores-Y,00:04:27,00:04:32,00:00:05,Mapping
763,5-Dolores-Y,00:04:32,00:04:37,00:00:06,Testing
764,5-Dolores-Y,00:04:38,00:04:58,00:00:20,Mapping
765,5-Dolores-Y,00:04:58,00:05:04,00:00:06,Testing
766,5-Dolores-Y,00:05:05,00:06:18,00:01:13,Mapping
767,5-Dolores-Y,00:06:18,00:06:22,00:00:04,Testing
768,5-Dolores-Y,00:06:22,00:06:30,00:00:09,Mapping
769,5-Dolores-Y,00:06:31,00:06:35,00:00:05,Testing
770,5-Dolores-Y,00:06:35,00:06:57,00:00:22,Mapping
771,5-Dolores-Y,00:06:58,00:07:01,00:00:04,Testing
772,5-Dolores-Y,00:07:02,00:08:15,00:01:13,Mapping
773,5-Dolores-Y,00:08:16,00:08:22,00:00:06,Testing
774,5-Dolores-Y,00:08:22,00:08:49,00:00:27,Mounting
775,5-Dolores-Y,00:08:49,00:08:57,00:00:08,Mapping
776,5-Dolores-Y,00:08:57,00:09:08,00:00:10,Mounting
777,5-Dolores-Y,00:09:08,00:09:16,00:00:09,Mapping
778,5-Dolores-Y,00:09:16,00:09:33,00:00:17,Testing
779,5-Dolores-Y,00:09:33,00:10:37,00:01:04,Mapping
780,5-Dolores-Y,00:10:37,00:10:46,00:00:09,Testing
781,5-Dolores-Y,00:10:46,00:11:30,00:00:45,Mapping
782,5-Dolores-Y,00:11:31,00:11:38,00:00:08,Testing
783,5-Dolores-Y,00:11:39,00:12:00,00:00:22,Consulting
784,5-Dolores-Y,00:12:00,00:12:09,00:00:09,Testing
785,5-Dolores-Y,00:12:09,00:12:22,00:00:13,Mapping
786,5-Dolores-Y,00:12:22,00:12:28,00:00:06,Testing
787,5-Dolores-Y,00:12:28,00:12:56,00:00:29,Mapping
788,5-Dolores-Y,00:12:56,00:13:31,00:00:34,Testing
789,5-Dolores-Y,00:13:31,00:13:47,00:00:16,Mapping
790,5-Dolores-Y,00:13:47,00:13:57,00:00:10,Testing
791,5-Dolores-Y,00:13:58,00:14:20,00:00:23,Mapping
792,5-Dolores-Y,00:14:20,00:14:37,00:00:17,Testing
793,5-Dolores-Y,00:14:37,00:15:11,00:00:34,Mapping
794,5-Dolores-Y,00:15:11,00:15:20,00:00:09,Testing
795,5-Dolores-Y,00:15:20,00:15:35,00:00:14,Mapping
796,5-Dolores-Y,00:15:35,00:15:41,00:00:06,Testing
797,5-Dolores-Y,00:15:41,00:15:51,00:00:10,Mapping
798,5-Dolores-Y,00:15:51,00:15:55,00:00:04,Testing
799,5-Dolores-Y,00:15:55,00:16:03,00:00:08,Mapping
800,5-Dolores-Y,00:16:03,00:16:14,00:00:11,Testing
801,5-Dolores-Y,00:16:15,00:18:12,00:01:57,Mapping
802,5-Dolores-Y,00:18:12,00:18:20,00:00:08,Testing
803,5-Dolores-Y,00:18:20,00:20:31,00:02:11,Mapping
804,5-Dolores-Y,00:20:31,00:21:10,00:00:39,Testing
805,5-Dolores-Y,00:21:10,00:22:22,00:01:12,Mapping
806,5-Dolores-Y,00:22:22,00:22:40,00:00:18,Testing
807,5-Dolores-Y,00:22:40,00:22:55,00:00:15,Mapping
808,5-Dolores-Y,00:22:55,00:23:10,00:00:15,Testing
809,5-Dolores-Y,00:23:10,00:23:28,00:00:18,Mapping
810,5-Dolores-Y,00:23:29,00:23:56,00:00:27,Testing
811,5-Dolores-Y,00:23:56,00:24:39,00:00:44,Mapping
812,5-Dolores-Y,00:24:39,00:24:50,00:00:11,Testing
813,5-Dolores-Y,00:24:50,00:25:25,00:00:35,Mapping
814,5-Dolores-Y,00:25:25,00:25:30,00:00:05,Testing
815,5-Dolores-Y,00:25:30,00:25:37,00:00:07,Mapping
816,5-Dolores-Y,00:25:37,00:25:46,00:00:08,Testing
817,6-Yuri-X,00:00:04,00:00:59,00:00:55,Mounting
818,6-Yuri-X,00:00:59,00:01:56,00:00:57,Mapping
819,6-Yuri-X,00:01:56,00:02:09,00:00:13,Testing
820,6-Yuri-X,00:02:09,00:02:15,00:00:06,Mapping
821,6-Yuri-X,00:02:15,00:02:20,00:00:05,Testing
822,6-Yuri-X,00:02:20,00:02:36,00:00:16,Mapping
823,6-Yuri-X,00:02:36,00:03:03,00:00:27,Testing
824,6-Yuri-X,00:03:03,00:03:16,00:00:13,Mapping
825,6-Yuri-X,00:03:16,00:03:42,00:00:26,Testing
826,6-Yuri-X,00:03:42,00:04:36,00:00:54,Mapping
827,6-Yuri-X,00:04:36,00:04:46,00:00:10,Testing
828,6-Yuri-X,00:04:46,00:05:02,00:00:16,Mapping
829,6-Yuri-X,00:05:03,00:05:39,00:00:37,Testing
830,6-Yuri-X,00:05:39,00:05:46,00:00:07,Mapping
831,6-Yuri-X,00:05:46,00:05:59,00:00:13,Testing
